         4062204 function calls (4061955 primitive calls) in 7.712 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.683    7.683 kmeans_profiling.py:63(fit)
        1    0.102    0.102    7.671    7.671 kmeans_profiling.py:410(_extended_hartigan)
   165000    5.210    0.000    7.512    0.000 kmeans_profiling.py:670(_find_candidates)
   165019    0.540    0.000    1.022    0.000 _linalg.py:2566(norm)
   166680    0.137    0.000    0.680    0.000 fromnumeric.py:2255(sum)
   332199    0.600    0.000    0.600    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   166704    0.210    0.000    0.519    0.000 fromnumeric.py:69(_wrapreduction)
   165001    0.132    0.000    0.361    0.000 fromnumeric.py:1305(argmin)
   165020    0.087    0.000    0.229    0.000 fromnumeric.py:51(_wrapfunc)
   165000    0.142    0.000    0.142    0.000 {built-in method numpy.arange}
   165001    0.119    0.000    0.119    0.000 {method 'argmin' of 'numpy.ndarray' objects}
340012/340011    0.059    0.000    0.059    0.000 {built-in method builtins.isinstance}
347383/347365    0.045    0.000    0.045    0.000 {built-in method builtins.len}
   165291    0.043    0.000    0.043    0.000 {built-in method builtins.issubclass}
       42    0.032    0.001    0.042    0.001 kmeans_profiling.py:627(_tot_cluster_cost)
   165019    0.039    0.000    0.039    0.000 {method 'conj' of 'numpy.ndarray' objects}
       21    0.001    0.000    0.034    0.002 kmeans_profiling.py:715(_accept_candidates)
   166970    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
   165032    0.027    0.000    0.027    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.027    0.027 readers.py:1257(read_table)
        1    0.000    0.000    0.027    0.027 readers.py:583(_read)
        1    0.000    0.000    0.025    0.025 readers.py:1907(read)
        1    0.000    0.000    0.024    0.024 python_parser.py:246(read)
   165338    0.024    0.000    0.024    0.000 {built-in method builtins.getattr}
   165840    0.019    0.000    0.019    0.000 multiarray.py:361(where)
   165019    0.019    0.000    0.019    0.000 _linalg.py:2562(_norm_dispatcher)
   165000    0.018    0.000    0.018    0.000 multiarray.py:901(bincount)
   166680    0.018    0.000    0.018    0.000 fromnumeric.py:2250(_sum_dispatcher)
   165001    0.017    0.000    0.017    0.000 fromnumeric.py:1301(_argmin_dispatcher)
        1    0.003    0.003    0.016    0.016 python_parser.py:1087(_get_lines)
       22    0.007    0.000    0.013    0.001 kmeans_profiling.py:567(_move_centroids)
        1    0.005    0.005    0.012    0.012 kmeans_profiling.py:116(_init_centroids)
     7501    0.002    0.000    0.011    0.000 python_parser.py:789(_next_iter_line)
7976/7974    0.002    0.000    0.009    0.000 {built-in method builtins.next}
     7501    0.004    0.000    0.007    0.000 python_parser.py:233(_read)
        1    0.000    0.000    0.006    0.006 python_parser.py:336(_convert_data)
      236    0.000    0.000    0.006    0.000 fromnumeric.py:3476(mean)
        1    0.000    0.000    0.006    0.006 base_parser.py:514(_convert_to_ndarrays)
        2    0.005    0.003    0.005    0.003 base_parser.py:670(_infer_types)
      236    0.002    0.000    0.005    0.000 _methods.py:110(_mean)
     7500    0.002    0.000    0.002    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 python_parser.py:1001(_rows_to_cols)
       25    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 readers.py:1575(__init__)
        1    0.000    0.000    0.001    0.001 readers.py:1848(_make_engine)
     7501    0.001    0.000    0.001    0.000 python_parser.py:1007(<genexpr>)
        1    0.000    0.000    0.001    0.001 frame.py:694(__init__)
        1    0.000    0.000    0.001    0.001 construction.py:423(dict_to_mgr)
        3    0.001    0.000    0.001    0.000 python_parser.py:858(_remove_empty_lines)
        1    0.000    0.000    0.001    0.001 common.py:664(get_handle)
      236    0.000    0.000    0.001    0.000 fromnumeric.py:2400(any)
     7501    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     7575    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.001    0.000 {built-in method builtins.print}
      236    0.000    0.000    0.001    0.000 fromnumeric.py:89(_wrapreduction_any_all)
        2    0.000    0.000    0.001    0.000 common.py:1165(_is_binary_mode)
        2    0.000    0.000    0.001    0.000 arrayprint.py:1652(_array_str_implementation)
        2    0.000    0.000    0.001    0.000 arrayprint.py:582(array2string)
      3/2    0.000    0.000    0.001    0.000 series.py:389(__init__)
        2    0.000    0.000    0.001    0.000 arrayprint.py:527(wrapper)
        2    0.000    0.000    0.001    0.000 arrayprint.py:544(_array2string)
        1    0.000    0.000    0.001    0.001 common.py:1186(_get_binary_io_classes)
        1    0.000    0.000    0.001    0.001 _optional.py:85(import_optional_dependency)
        1    0.000    0.000    0.001    0.001 __init__.py:73(import_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
